🇨🇳󠁧󠁢󠁥󠁮潇洒MTV,#genre#
凤凰传奇-山河图,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/凤凰传奇-山河图(Live).mp4
凤凰传奇-最炫民族风,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/凤凰传奇-最炫民族风.mp4
周杰伦-Mojito,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/周杰伦-Mojito.mp4
周杰伦-晴天,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/周杰伦-晴天.mp4
周杰伦-最伟大的作品,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/周杰伦-最伟大的作品.mp4
周杰伦-本草纲目,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/周杰伦-本草纲目.mp4
戴荃-悟空,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/戴荃-悟空.mp4
李荣浩-乌梅子酱,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/李荣浩-乌梅子酱.mp4
李荣浩-李白,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/李荣浩-李白.mp4
李荣浩-模特,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/李荣浩-模特.mp4
李荣浩-老街,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/李荣浩-老街.mp4
毛不易-消愁,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/毛不易-消愁.mp4
潇洒MV,http://pluto-live.plutotv.net/egress/chandler/pluto01/live/VIACBS02/master_2400.m3u8
潇洒MV,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/Olivia%20O'Brien%26FLETCHER-Bitch%20Back.mp4
潇洒MV1,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/Weki%20Meki-COOL%20(Performance%20Ver.).mp4
潇洒MV2,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/MAMAMOO-AYA.mp4
潇洒MV3,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/aespa%20(%EC%97%90%EC%8A%A4%ED%8C%8C)-Black%20Mamba.mp4
筷子兄弟-小苹果,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/筷子兄弟-小苹果.mp4
迈克尔·杰克逊-Dangerous,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/Michael%20Jackson-Dangerous.mp4
迈克尔·杰克逊-Beat It,https://hub.gitmirror.com/https://raw.githubusercontent.com/SCXSVIP/TV/main/MTV/Michael%20Jackson-We%20Are%20The%20World(Demo).mp4
古巨基-劲歌金曲,http://xsvip.dynv6.net/tv/古巨基-劲歌金曲.mp4
古巨基-劲歌. 金曲2(情歌王),http://xsvip.dynv6.net/tv/古巨基-劲歌. 金曲2(情歌王).mp4
古巨基-劲歌金曲3 Party King(Live),http://xsvip.dynv6.net/tv/古巨基-劲歌金曲3 Party King(Live).mp4

🇨🇳󠁧󠁢󠁥󠁮潇洒央视,#genre#
//Meroser-2024.01.09

CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
